Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Category
IR-P-C-39486,Chalapathi Institute of Pharmaceutical SciencesMore Details,Guntur,Andhra Pradesh,41.31,54,58.63,3.56,67.27,50.72,41.3,Pharmacy
IR-P-C-26907,Raghavendra Institute of Pharmaceuatical Education & Research More Details,Anantapur,Andhra Pradesh,41.14,55,62.47,3.32,61.68,57.14,33.46,Pharmacy
IR-P-U-0536,"Sam Higginbottom Institute of Agriculture, Technology & SciencesMore Details",Allahabad,Uttar Pradesh,41.05,56,69.43,27.04,31.87,51.44,5.97,Pharmacy
IR-P-I-1243,"College of Pharmacy, Madras Medical CollegeMore Details",Chennai,Tamil Nadu,40.93,57,63.83,0.81,56.13,53.24,49.89,Pharmacy
IR-P-C-33814,Bharati Vidyapeeth's College of PharmacyMore Details,Navi Mumbai,Maharashtra,40.64,58,64.11,10.93,45.05,52.27,38.85,Pharmacy
IR-P-U-0093,Pt. Ravishankar Shukla UniversityMore Details,Raipur,Chhattisgarh,40.6,59,46.32,28.61,58.05,45.13,20.0,Pharmacy
IR-P-C-10250,Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of PharmacyMore Details,Bela,Punjab,40.45,60,59.8,5.95,57.8,64.33,27.27,Pharmacy
IR-P-C-6269,NSHM Knowledge CampusMore Details,Kolkata,West Bengal,39.65,61,61.49,4.37,62.24,47.08,27.27,Pharmacy
IR-P-C-11091,Bharati Vidyapeeth's College of PharmacyMore Details,Kolhapur,Maharashtra,39.59,62,54.41,9.56,58.14,41.94,45.82,Pharmacy
IR-P-C-33553,Vivekanand Education Society`s College of PharmacyMore Details,Mumbai,Maharashtra,39.41,63,63.89,10.99,56.35,50.72,5.97,Pharmacy
IR-P-I-1289,Acharya Nagarjuna University College of Pharmaceutical SciencesMore Details,Guntur,Andhra Pradesh,38.73,64,52.07,10.7,63.41,44.91,27.27,Pharmacy
IR-P-C-44200,C.U.Shah College of PharmacyMore Details,Mumbai,Maharashtra,38.46,65,63.19,4.34,59.34,52.15,11.19,Pharmacy
IR-P-I-1262,Sri Ramakrishna Institute of Paramedical SciencesMore Details,Coimbatore,Tamil Nadu,38.17,66,65.5,0.18,44.39,44.12,51.78,Pharmacy
IR-P-S-10906,Guru Nanak Institute of Pharmaceutical Science & TechnologyMore Details,Kolkata,West Bengal,37.9,67,62.96,2.95,59.31,46.89,15.83,Pharmacy
IR-P-C-42167,P. E. Society`s Modern College of PharmacyMore Details,Pune,Maharashtra,37.85,68,67.49,1.35,51.43,53.3,15.83,Pharmacy
IR-P-C-26904,Sri Venkateshwara College of PharmacyMore Details,Chittoor,Andhra Pradesh,37.72,69,64.49,1.59,56.86,59.21,5.97,Pharmacy
IR-P-C-45528,KMCH College of PharmacyMore Details,Coimbatore,Tamil Nadu,37.7,70,57.42,3.19,51.62,58.36,33.46,Pharmacy
IR-P-C-41951,Padamshree Dr. D. Y. Patil College of PharmacyMore Details,Pune,Maharashtra,37.49,71,60.1,1.52,60.56,53.1,15.83,Pharmacy
IR-P-C-54626,Girijananda Chowdhury Institute of Pharmaceutical ScienceMore Details,Guwahati,Assam,37.31,72,56.49,8.58,60.49,40.97,15.83,Pharmacy
IR-P-C-33635,Principal K.M. Kundnani College of PharmacyMore Details,Mumbai,Maharashtra,37.29,73,57.24,6.55,58.13,54.12,11.19,Pharmacy
IR-P-U-0938,Dr. Vishwanath Karad MIT World Peace UniversityMore Details,Pune,Maharashtra,37.29,73,68.68,1.95,48.93,51.96,11.19,Pharmacy
IR-P-U-0562,"Kumaun University, NainitalMore Details",Nainital,Uttarakhand,37.23,75,59.77,14.22,55.01,34.25,5.97,Pharmacy
